"project_id","tag_id"
1,1
1,2
3,10
4,3
4,7
4,4
5,5
5,1
6,3
6,9
7,4
7,11
7,6
8,6
9,11
10,11
10,5
11,5
11,9
11,11
12,5
12,10
13,11
14,4
14,8
14,1
15,9
15,7
16,7
17,5
17,7
18,9
18,3
18,6
19,1
20,10
20,5
20,6
21,1
21,5
21,4
22,8
22,9
22,5
23,7
23,1
23,3
24,7
24,1
24,10
25,11
25,5
25,2
26,6
27,7
27,3
28,6
28,4
28,1
29,7
29,9
29,2
30,8
31,5
31,4
31,8
32,3
32,4
32,8
33,4
34,9
35,8
35,6
36,10
36,1
36,4
37,1
37,6
38,2
38,11
39,4
39,8
40,2
41,2
41,11
42,5
42,3
42,2
43,6
44,1
44,6
44,11
45,5
45,8
46,4
47,8
47,7
48,4
48,10
48,1
49,10
49,1
50,10
50,4
51,9
51,4
51,1
52,6
52,5
53,8
53,7
53,10
54,7
54,1
54,5
55,8
55,3
56,11
56,7
57,8
57,11
57,1
58,9
58,10
59,1
60,5
60,6
60,8
61,7
61,2
62,1
62,2
63,1
63,3
63,11
64,1
64,9
64,7
65,7
65,3
65,6
66,4
66,11
66,1
67,8
67,2
67,7
68,10
69,7
70,1
71,1
72,4
73,9
73,4
73,10
74,2
74,7
74,10
75,4
76,7
76,11
76,6
77,7
78,5
79,5
80,5
81,3
81,7
82,5
82,2
83,5
83,8
83,6
84,3
84,8
84,10
85,7
85,3
85,2
86,1
86,2
86,8
87,11
87,3
88,3
89,11
90,1
90,4
90,5
91,11
92,9
92,1
92,6
93,2
93,11
94,7
94,10
95,2
96,8
97,3
98,8
98,10
98,7
99,2
99,1
99,7
100,3
101,9
101,2
102,9
102,10
102,8
103,2
104,6
104,4
105,4
105,1
106,3
106,6
107,10
107,11
108,6
108,3
109,7
109,9
109,8
110,6
111,10
111,3
111,5
112,3
113,4
113,3
113,10
114,6
115,7
115,11
116,6
116,4
117,10
117,11
118,11
118,2
119,7
119,11
119,5
120,10
120,5
120,3
121,9
121,11
121,1
122,5
123,3
123,10
123,6
124,9
124,1
125,9
125,10
125,5
126,5
126,8
126,1
127,11
127,2
128,9
128,11
128,7
129,10
130,5
130,1
130,3
131,8
131,1
132,8
132,2
133,3
133,1
134,2
135,3
135,7
136,8
136,11
136,7
137,2
138,5
138,7
138,3
139,10
139,3
139,2
140,2
141,10
142,3
143,6
144,10
145,9
145,1
146,10
146,2
147,9
147,3
148,4
149,3
150,2
150,5
151,5
152,11
153,10
153,9
154,6
154,4
154,2
155,8
156,10
156,8
157,7
157,2
158,11
158,1
159,5
159,4
160,1
160,6
160,10
161,1
161,3
161,7
162,2
162,8
162,5
163,2
163,4
164,1
164,6
164,8
165,5
166,4
166,6
166,10
167,1
167,10
167,2
168,2
169,4
169,3
169,11
170,10
170,11
170,2
171,10
171,6
171,5
172,9
172,4
173,6
173,7
173,9
174,8
174,3
174,9
175,5
176,8
176,4
177,2
177,5
178,11
179,3
179,7
179,10
180,8
180,11
180,4
181,4
181,10
181,1
182,6
183,7
183,10
183,8
184,1
184,4
185,3
186,7
186,1
187,5
187,8
187,9
188,6
188,7
188,1
189,7
189,2
190,1
190,9
190,10
191,5
191,4
192,11
192,1
193,4
193,2
194,9
195,10
195,3
195,5
196,11
197,11
197,8
198,3
198,8
199,3
200,8
200,11
201,10
201,7
202,2
203,9
204,1
204,7
205,8
205,10
205,3
206,9
206,1
206,5
207,6
207,9
207,4
208,8
208,5
209,7
209,2
209,3
210,7
211,1
211,4
211,10
212,5
212,1
212,2
213,4
213,8
214,11
214,6
214,4
215,8
216,2
217,8
218,11
219,7
219,2
219,1
220,7
221,7
222,7
222,9
222,3
223,10
223,11
223,5
224,9
225,5
225,2
225,9
226,4
226,5
227,8
227,1
227,3
228,8
228,7
229,1
230,6
231,4
232,1
232,10
233,5
234,2
234,9
235,5
235,9
236,1
237,8
237,6
237,9
238,7
238,1
238,11
239,3
239,8
239,10
240,6
240,3
241,3
241,5
242,1
242,3
242,4
243,11
244,6
244,4
245,3
245,1
246,7
246,3
246,11
247,2
247,1
248,8
248,6
248,3
249,7
250,5
250,8
251,8
252,1
252,8
253,1
254,8
254,4
255,10
256,4
257,2
258,10
258,9
259,1
260,6
260,11
260,1
261,9
262,5
262,7
263,11
264,7
265,8
265,3
266,4
267,5
268,7
268,11
268,5
269,4
269,9
269,6
270,11
270,2
270,1
271,9
271,2
271,5
272,8
272,2
272,9
273,7
274,4
275,2
275,3
275,7
276,6
276,8
277,4
278,6
279,7
279,2
280,11
280,7
281,3
281,5
281,8
282,11
282,7
282,4
283,10
284,5
284,4
285,11
286,1
286,3
286,10
287,11
287,5
287,3
288,6
289,9
290,2
290,7
291,3
291,8
292,7
292,9
293,6
293,3
293,8
294,6
295,5
295,1
296,6
296,5
297,6
297,2
297,7
298,6
298,2
299,5
299,3
300,3
300,6
301,11
301,4
301,1
302,11
302,3
302,6
303,4
303,6
303,7
304,3
304,5
304,6
305,1
305,3
306,2
307,3
308,3
308,7
309,2
310,5
310,9
311,7
311,8
312,2
312,5
313,5
313,7
314,1
314,6
315,9
315,3
315,8
316,8
316,11
317,9
317,1
318,5
318,10
319,7
319,6
320,7
320,8
321,4
321,5
321,8
322,10
322,2
323,1
323,8
324,10
325,10
325,9
325,2
326,3
326,2
326,10
327,10
328,3
328,9
328,6
329,11
329,5
329,9
330,9
330,5
330,2
331,3
332,10
333,4
333,3
333,2
334,6
334,9
334,1
335,3
336,6
336,2
337,7
337,10
338,11
338,5
338,2
339,1
339,5
340,7
341,1
342,6
342,3
342,7
343,9
343,6
343,8
344,1
345,11
345,9
346,10
347,5
347,11
347,2
348,3
349,11
350,5
351,7
352,3
353,10
354,3
354,9
354,7
355,4
355,6
355,8
356,11
356,8
356,5
357,8
358,2
358,4
358,9
359,7
359,11
359,6
360,5
361,1
362,10
362,7
362,3
363,9
363,4
364,5
364,3
365,7
365,4
365,11
366,1
366,11
367,5
367,1
368,11
369,8
369,9
369,5
370,1
371,1
372,11
373,11
373,3
374,7
375,5
375,1
376,10
377,6
377,3
377,7
378,10
379,4
380,9
380,10
381,11
381,6
381,9
382,5
382,9
382,6
383,5
384,11
385,8
385,1
385,4
386,3
386,2
386,7
387,7
388,7
388,10
389,2
389,4
390,5
390,7
391,8
391,7
392,9
392,4
393,4
393,8
393,9
394,5
395,7
395,9
396,8
396,11
396,7
397,9
397,5
397,2
398,3
398,6
398,11
399,1
399,10
399,5
400,1
400,9
401,6
401,7
402,2
402,8
402,5
403,9
404,7
404,6
405,6
405,2
405,3
406,10
406,6
407,10
407,6
407,9
408,7
408,6
409,2
410,3
411,4
411,10
411,11
412,6
412,10
413,2
413,1
413,3
414,10
414,6
415,3
415,8
415,5
416,5
416,8
416,11
417,11
418,8
418,9
419,2
419,9
419,5
420,11
420,10
421,3
422,2
423,7
424,7
424,9
424,4
425,4
426,8
427,9
427,10
428,6
428,8
429,6
429,9
429,3
430,9
430,1
430,7
431,11
432,2
432,3
432,6
433,7
433,4
433,6
434,7
435,5
435,6
436,10
436,6
437,1
437,11
437,7
438,3
439,11
440,3
440,8
441,11
442,7
443,5
443,8
444,5
444,9
444,4
445,7
445,8
445,1
446,7
446,8
447,4
448,9
448,7
449,7
450,7
450,2
451,2
451,9
451,1
452,4
453,2
454,8
454,5
455,10
456,10
456,8
456,9
457,10
458,7
458,6
459,7
460,7
461,6
461,8
462,6
462,1
463,8
464,4
465,1
465,5
466,8
466,11
466,4
467,6
467,4
468,8
468,11
468,3
469,9
469,10
470,1
470,9
470,11
471,7
471,2
472,4
472,6
473,4
473,6
473,8
474,3
474,9
474,11
475,7
475,5
475,8
476,10
477,6
478,6
479,10
479,7
479,1
480,8
480,1
481,9
481,2
481,5
482,11
482,2
482,8
483,5
483,11
483,3
484,1
484,9
484,7
485,6
485,11
486,2
487,9
487,5
488,3
488,1
489,1
489,4
490,6
490,2
491,4
492,2
492,11
492,1
493,6
494,11
494,5
495,2
496,3
497,1
497,2
498,10
498,8
498,3
499,3
500,7
500,8
501,5
501,6
501,8
502,8
502,1
503,10
504,7
504,6
504,11
505,3
505,9
505,10
506,1
506,3
507,1
507,7
507,11
508,6
509,5
510,5
510,10
510,3
511,2
512,1
512,7
513,10
513,6
513,9
514,4
514,8
515,3
516,8
517,4
517,3
518,8
518,3
518,9
519,9
519,10
519,6
520,11
520,1
521,9
521,10
521,7
522,3
522,8
523,11
524,5
525,9
525,3
525,11
526,4
527,2
528,11
528,2
528,8
529,3
529,8
529,1
530,7
530,3
531,10
531,4
531,9
532,9
532,11
533,1
534,3
534,7
535,10
535,3
536,5
537,6
538,9
538,6
539,9
539,6
539,10
540,10
541,3
541,1
542,5
543,6
543,2
543,7
544,2
545,7
546,5
546,1
546,2
547,9
547,3
548,7
548,9
548,8
549,10
549,11
550,4
550,9
551,3
551,8
552,8
552,1
553,3
553,6
554,4
555,1
556,10
556,3
557,2
557,1
557,9
558,2
558,10
558,1
559,9
560,7
560,3
561,3
562,8
563,5
563,6
563,1
564,3
564,2
565,5
566,2
566,8
567,8
567,3
568,6
568,3
568,8
569,10
570,10
570,9
570,3
571,1
571,7
571,6
572,11
572,1
572,9
573,9
573,3
573,1
574,10
574,6
575,5
576,2
577,7
577,9
578,3
578,2
578,6
579,6
579,11
580,10
580,9
580,1
581,1
582,4
583,10
583,3
584,8
585,5
586,4
587,7
587,5
587,4
588,11
588,1
588,5
589,7
589,9
590,2
590,11
591,7
591,6
592,3
592,11
593,8
593,9
594,8
595,1
595,3
595,8
596,3
596,5
597,5
597,4
598,3
599,5
600,1
600,6
601,6
601,5
601,7
602,1
602,11
602,5
603,10
604,2
604,9
604,8
605,5
606,3
607,2
607,5
607,8
608,2
608,7
609,6
609,11
610,5
611,3
612,11
612,4
612,3
613,10
614,2
615,11
615,2
615,1
616,11
616,10
616,7
617,2
617,1
617,9
618,6
619,3
620,4
620,5
620,11
621,2
621,4
622,5
623,6
624,4
624,11
624,3
625,2
626,4
626,9
627,9
627,1
627,8
628,5
629,1
630,10
631,9
632,4
633,11
633,6
634,6
634,2
634,7
635,8
636,2
636,9
636,7
637,2
638,9
639,2
639,7
640,6
640,3
641,1
642,7
642,9
642,8
643,4
643,8
644,11
645,11
645,2
646,5
647,1
648,7
648,11
648,6
649,7
650,3
650,9
651,3
651,9
651,10
652,8
653,6
653,9
654,11
654,2
655,11
655,10
655,8
656,11
656,10
657,3
658,3
659,9
659,7
659,2
660,5
661,4
661,2
662,6
662,7
662,10
663,11
663,1
663,4
664,9
664,1
664,8
665,10
665,2
665,5
666,4
667,9
667,8
668,8
669,11
670,7
670,10
670,11
671,11
671,5
672,9
672,4
673,9
673,11
673,1
674,1
674,3
674,4
675,9
676,5
677,2
678,9
679,3
679,7
679,6
680,5
681,1
682,3
683,9
684,9
684,8
685,3
686,8
686,9
687,6
688,6
688,1
688,8
689,7
689,2
689,4
690,2
690,9
691,10
692,5
692,4
693,11
693,5
693,2
694,2
695,6
695,10
696,4
696,5
697,7
697,1
697,5
698,11
698,9
699,2
699,1
699,6
700,9
700,10
700,4
701,11
702,6
702,1
702,9
703,2
703,10
703,3
704,7
704,9
704,11
705,10
705,6
706,11
706,8
707,5
707,11
707,3
708,8
709,6
709,1
709,8
710,11
710,4
710,7
711,4
712,3
712,10
713,4
714,6
714,11
715,11
715,9
715,3
716,4
716,2
716,3
717,5
717,4
717,7
718,5
718,9
718,2
719,3
719,2
720,1
720,6
720,5
721,7
721,10
721,2
722,5
723,5
723,1
723,4
724,4
725,1
725,9
726,9
726,8
727,10
727,4
728,7
729,8
729,6
730,9
730,8
730,2
731,4
731,11
731,3
732,5
733,10
734,7
734,10
735,2
735,3
735,8
736,6
737,1
738,5
738,1
738,10
739,5
739,10
739,9
740,1
740,4
741,9
741,6
742,11
743,10
743,2
744,5
745,8
745,11
746,11
747,1
747,8
748,2
748,1
748,9
749,9
750,11
750,4
751,1
752,7
752,10
753,11
753,8
753,9
754,3
755,8
756,2
756,1
757,1
757,6
757,11
758,3
759,5
760,2
761,1
762,4
762,10
762,7
763,2
763,3
764,2
764,6
765,8
765,9
766,7
766,5
766,11
767,1
767,10
768,8
768,11
768,6
769,9
769,4
769,2
770,8
770,3
771,5
771,10
772,2
772,11
773,11
773,6
773,8
774,7
774,8
774,3
775,6
775,10
775,1
776,11
776,6
777,5
777,6
777,10
778,3
778,10
778,5
779,8
779,6
780,6
780,1
781,3
781,9
782,9
782,8
782,10
783,1
783,8
784,5
785,4
785,7
785,11
786,4
787,1
787,11
788,1
788,10
789,7
789,8
790,4
790,7
790,2
791,8
791,7
791,4
792,9
793,6
793,3
794,10
794,11
795,5
796,4
797,2
797,3
797,5
798,5
799,6
799,2
800,1
801,7
801,2
801,6
802,4
802,8
803,3
803,10
804,9
805,9
805,6
805,4
806,7
806,10
806,3
807,9
807,4
807,6
808,5
808,4
808,7
809,10
810,6
810,5
810,1
811,3
812,5
813,10
813,11
814,6
814,10
814,11
815,4
816,9
816,5
817,2
817,3
817,1
