"project_id","name","client_id","start_date","end_date","status"
1,Projekt A,1,2024-01-01,2024-06-30,active
2,Projekt B,2,2024-03-01,2024-12-31,planning
3,Project yeah,8,2022-06-06,2022-08-25,Running
4,Project southern,7,2024-09-05,2025-07-02,Planned
5,Project way,12,2022-05-25,2022-12-05,Finished
6,Project training,4,2023-05-15,2024-03-06,Planned
7,Project note,3,2023-11-15,2024-06-16,Planned
8,Project owner,5,2024-05-28,2025-02-17,Running
9,Project stage,2,2024-04-23,2024-07-20,Finished
10,Project star,7,2022-07-27,2023-02-10,Finished
11,Project like,1,2023-03-14,2023-05-31,Running
12,Project development,5,2024-03-08,2024-08-27,Planned
13,Project bar,3,2022-04-03,2022-08-13,Running
14,Project certain,2,2022-06-05,2023-01-08,Planned
15,Project practice,9,2023-03-23,2023-12-21,Running
16,Project some,3,2023-10-19,2024-07-26,Planned
17,Project positive,1,2022-11-18,2023-08-31,Finished
18,Project month,8,2022-07-14,2022-11-01,Finished
19,Project article,5,2023-01-15,2023-10-19,Running
20,Project early,4,2023-10-22,2024-03-20,Planned
21,Project region,12,2023-01-14,2023-08-29,Finished
22,Project structure,3,2022-06-11,2022-10-25,Finished
23,Project team,11,2023-02-27,2023-09-06,Finished
24,Project far,5,2022-02-02,2022-08-19,Finished
25,Project before,7,2022-06-11,2022-10-20,Finished
26,Project herself,5,2023-01-03,2023-07-11,Running
27,Project describe,4,2024-01-19,2024-10-09,Planned
28,Project analysis,12,2022-08-13,2023-03-08,Running
29,Project word,1,2022-12-12,2023-06-15,Planned
30,Project many,9,2024-07-05,2025-02-15,Running
31,Project heavy,4,2024-06-19,2024-12-09,Planned
32,Project can,2,2022-10-19,2023-01-24,Planned
33,Project should,8,2022-08-08,2022-10-13,Planned
34,Project sport,12,2024-04-16,2024-08-17,Running
35,Project simply,1,2022-08-02,2023-03-14,Finished
36,Project Mrs,10,2023-06-14,2023-09-16,Finished
37,Project nation,3,2023-08-05,2024-01-03,Finished
38,Project certain,12,2023-01-30,2023-10-16,Finished
39,Project course,12,2024-02-04,2024-07-07,Planned
40,Project night,1,2023-02-13,2023-11-13,Running
41,Project security,6,2023-01-03,2023-06-22,Finished
42,Project product,5,2022-12-25,2023-04-25,Planned
43,Project able,10,2023-03-05,2023-10-30,Running
44,Project produce,8,2022-08-16,2023-05-11,Running
45,Project final,8,2022-01-10,2022-04-12,Running
46,Project respond,9,2023-01-08,2023-04-12,Running
47,Project administration,3,2023-06-08,2023-10-24,Running
48,Project keep,5,2024-04-24,2024-08-28,Finished
49,Project wish,2,2024-02-06,2024-08-13,Running
50,Project program,8,2022-02-09,2022-08-09,Finished
